:T
:T Lines.dat: Version compatible with FASTWIND data set 
:T
:T Notes: 
:T      i. Oscillator strengths are gij fj/Sum(gi), check for consistency
:T         required
:T     ii. Last two columns correspond to Number of line and Sum(gi) 
:T     iii. Wavelengths are wavelengths in air
:T     iv. Both damping constants are divided by 4pi 
:T      v. The multiplet is identified by the NIST database number. 
:T     vi. Radiative lifetimes from VALD/NIST databases
:T    vii. Collisional damping from VALD or according to Cowly (1971)
:T
:T ********************************************************************
:T 
:T OII-III
:T
:T Miguel A. Urbaneja
:T Last revision: April 2007
:T
:T *******************************************************************
:T  
:T *******************************************************************
:T         OXYGEN   OII OIII
:T *******************************************************************       
:T
     CL  TY  RBB  2  7  RBB
:T Jan 2020
 O2010  O2023  10 3875.810  .00064  2.24E+8  0.0    0.0    5.08E-7    20. 
 O2016  O2025  3  4955.707  0.0445  1.82E8    0.    0.    2.82E-7      6.
 O2023  O2030  1  6571.49   0.0545   0.21E9   0.    0.    0.19E-5     14.  
 O2024  O2030  1  6775.30   0.0222   0.80E9   0.    0.    0.20E-5      6.
 O2025  O2031  1  7110.42   0.0604   0.21E9   0.    0.    0.20E-5     10.
 O2025  O2031  2  7129.14   0.0335   0.21E9   0.    0.    0.20E-5     10.
 O2020  O2029  1  7261.23   0.0337   0.37E9   0.    0.    0.18E-5     12.
 O2020  O2029  2  7300.06   0.0135   0.37E9   0.    0.    0.18E-5     12.
 O2020  O2029  3  7335.69   0.0027   0.37E9   0.    0.    0.18E-5     12. 
 O2022  O2029  1  7394.91   0.0098   0.22E8   0.    0.    0.18E-5     20.
 O2022  O2029  2  7414.55   0.0247   0.22E8   0.    0.    0.18E-5     20.
 O2022  O2029  3  7418.04   0.0471   0.22E8   0.    0.    0.18E-5     20.
 O2028  O2050  1  8288.82   0.0199   0.23E8   0.    0.    0.36E-5     20.
 O2028  O2050  2  8343.71   0.0243   0.23E8   0.    0.    0.36E-5     20.
 O2028  O2050  3  8376.40   0.0904   0.23E8   0.    0.    0.36E-5     20.
 O2028  O2050  4  8382.68   0.0194   0.23E8   0.    0.    0.36E-5     20.
 O2028  O2050  5  8404.43   0.0486   0.23E8   0.    0.    0.36E-5     20.
 O2028  O2050  6  8416.91   0.0195   0.23E8   0.    0.    0.36E-5     20.
 O2029  O2050  1  8520.36   0.0688   0.23E8   0.    0.    0.37E-5     12.
 O2019  O2028  1  6897.60   0.1550  0.31E8    0.    0.    0.60E-6     28.
:T from Kurucz
 O2014  O2026  1  3739.762  .08413  5.38E7    0.    0.    6.93E-7      4.
:T new, Jan 2006
 O2010  O2022  1  3842.815  3.60E-3 9.79E7    0.    0.    5.09E-7     20. 
 O2010  O2022  2  3847.892  4.15E-3 9.79E7    0.    0.    5.09E-7     20. 
 O2010  O2022  3  3850.797  2.27E-3 9.79E7    0.    0.    5.09E-7     20. 
 O2010  O2022  4  3851.032  6.76E-3 9.79E7    0.    0.    5.09E-7     20. 
 O2010  O2022  5  3856.134  5.47E-3 9.79E7    0.    0.    5.09E-7     20. 
 O2010  O2022  6  3863.501  5.37E-3 9.79E7    0.    0.    5.09E-7     20. 
 O2010  O2022  7  3864.426  .01383  9.79E7    0.    0.    5.09E-7     20. 
 O2010  O2022  8  3864.667  8.55E-3 9.79E7    0.    0.    5.09E-7     20. 
 O2010  O2022  9  3882.192  .04612  9.79E7    0.    0.    5.09E-7     20. 
 O2010  O2022 10  3883.130  7.26E-3 9.79E7    0.    0.    5.09E-7     20. 
:T dec 2006: Kurucz + NIST3.0 
 O2013  O2022  1  4710.009  0.05956 9.77E8    0.    0.    6.40E-7     10.
 O2025  O2043  3  4669.469  0.02455 1.00E8    0.    0.    1.07E-6     10.
 O2025  O2043  4  4669.272  0.00933 1.00E8    0.    0.    1.07E-6     10. 
:T:T check the two previous ones
 O2021  O2035  1  4871.542  0.15590 2.40E8    0.    0.    2.82E-6      6. 
 O2021  O2035  2  4872.045  0.01709 2.40E8    0.    0.    2.82E-6      6.  
 O2024  O2047  1  4466.602  0.11268 1.00E8    0.    0.    9.60E-7      6.
 O2017  O2033  1  4448.186  0.08647 2.29E8    0.    0.    8.54E-7     14.  
:T O2019  O2046  1  4083.928  0.05045 1.00E9    0.    0.    8.55E-7     28. 
 O2019  O2046  1  4083.895  .05045  1.00E9    0.    0.    8.55E-7    28. 
 O2019  O2046  2  4071.239  .029029 1.00E9    0.    0.    8.55E-7     28. 
:T from Kurucz
 O2020  O2044  1  4288.718   0.076   3.39E8    0.    0.    9.14E-7     12.
 O2020  O2044  2  4288.902   0.076   3.39E8    0.    0.    9.14E-7     12.
 O2020  O2044  3  4281.401   .0814   1.45E8    0.    0.    9.09E-7     12.
 O2020  O2044  4  4303.833   .3638   3.32E8    0.    0.    9.13E-7     12. 
 O2020  O2044  5  4294.781   .1909   3.32E8    0.    0.    9.13E-7     12. 
:T jan 2011 
 O2020  O2044  6  4276.516   .0979   3.39E8    0.    0.    9.10E-7     12.
 O2020  O2044  7  4276.669   .0155   3.39E8    0.    0.    9.10E-7     12.
 O2020  O2044 20  4276.537   .1134   3.39E8    0.    0.    9.10E-7     12.
:T     
:T Kurucz, April 2007; gamma_col Cowley 
:T O2033  XXXXX  1  4060.526   0.0111   2.46E8    0.    0.    1.71E-6     14.
:T O2033  XXXXX  2  4060.526   0.3925   2.46E8    0.    0.    1.71E-6     14.
:T O2033  XXXXX  3  4061.053   0.2978   2.46E8    0.    0.    1.71E-6     14.
:T
:T O2019  O2048  1  4062.912   0.02903  3.64E7    0.    0.    8.55E-7     28.
:T O2019  O2048  2  4048.241   0.01523  3.64E7    0.    0.    8.52E-7     28.
 O2019  O2048  1  4062.936   0.02903  3.64E7    0.    0.    8.52E-7     28. 
 O2019  O2048  2  4048.214   0.01523  3.64E7    0.    0.    8.52E-7     28.
